,Episode,Reward
14,14,21.0
14,14,21.0
14,14,21.0
14,14,21.0
14,14,20.0
14,14,20.0
14,14,20.0
14,14,19.0
14,14,20.0
14,14,19.0
14,14,20.0
14,14,19.0
14,14,17.0
14,14,19.0
14,14,20.0
14,14,19.0
14,14,20.0
14,14,19.0
14,14,20.0
14,14,21.0
14,14,20.0
14,14,20.0
14,14,19.0
14,14,21.0
14,14,18.0
14,14,19.0
14,14,21.0
14,14,21.0
14,14,20.0
14,14,21.0
14,14,21.0
14,14,20.0
14,14,20.0
14,14,20.0
14,14,18.0
14,14,19.0
14,14,20.0
14,14,20.0
14,14,15.0
14,14,21.0
14,14,18.0
14,14,21.0
14,14,21.0
14,14,19.0
14,14,20.0
14,14,18.0
14,14,20.0
14,14,18.0
14,14,19.0
14,14,18.0
14,14,18.0
14,14,20.0
14,14,21.0
14,14,19.0
14,14,20.0
15,15,21.0
15,15,19.0
15,15,19.0
15,15,20.0
15,15,20.0
15,15,17.0
15,15,18.0
15,15,21.0
15,15,21.0
15,15,18.0
15,15,20.0
15,15,19.0
15,15,21.0
15,15,20.0
15,15,20.0
15,15,21.0
15,15,21.0
15,15,17.0
15,15,18.0
15,15,20.0
15,15,17.0
15,15,21.0
15,15,20.0
15,15,19.0
15,15,21.0
15,15,21.0
15,15,21.0
15,15,21.0
15,15,20.0
15,15,19.0
15,15,21.0
15,15,19.0
15,15,18.0
15,15,21.0
15,15,21.0
15,15,18.0
15,15,20.0
15,15,19.0
15,15,21.0
15,15,21.0
15,15,20.0
15,15,21.0
15,15,19.0
15,15,20.0
15,15,20.0
15,15,20.0
15,15,18.0
15,15,21.0
15,15,20.0
15,15,20.0
15,15,21.0
15,15,21.0
15,15,20.0
15,15,21.0
15,15,21.0
15,15,20.0
15,15,20.0
15,15,20.0
15,15,17.0
